,jobid,electron_threshold,electron_softmax,primary_softmax,vertex_threshold,muon_threshold,signal_count,background_count,signal_count_all,purity,efficiency,f1_score,sensitivity
17,17,225.0,0.7,,2.0,10.0,239,47,379,0.8356643356643356,0.6306068601583114,0.7187969924812031,14.132366264139074
18,18,500.0,0.9,0.99,4.0,25.0,147,30,274,0.8305084745762712,0.5364963503649635,0.6518847006651884,11.049196611641584
19,19,400.0,,0.99,4.0,100.0,224,49,317,0.8205128205128205,0.7066246056782335,0.7593220338983051,13.557096731781176
20,20,100.0,0.6,0.95,3.0,50.0,292,73,403,0.8,0.7245657568238213,0.7604166666666666,15.28397853963424
21,21,0.0,0.9,0.95,3.0,10.0,222,38,409,0.8538461538461538,0.5427872860635696,0.6636771300448431,13.76785553940214
22,22,500.0,0.8,0.8,3.5,0.0,174,33,274,0.8405797101449275,0.635036496350365,0.7234927234927234,12.093836015310336
23,23,500.0,0.8,,4.0,25.0,174,36,274,0.8285714285714286,0.635036496350365,0.7190082644628101,12.007140732556964
24,24,225.0,0.7,0.95,4.0,0.0,258,55,379,0.8242811501597445,0.6807387862796834,0.7456647398843932,14.583022208760916
25,25,300.0,,0.99,4.0,50.0,252,53,351,0.8262295081967214,0.717948717948718,0.7682926829268292,14.42947802470948
26,26,300.0,0.6,,3.5,,255,57,351,0.8173076923076923,0.7264957264957265,0.7692307692307692,14.436532185343594
27,27,250.0,0.8,0.9,3.0,,233,44,366,0.8411552346570397,0.6366120218579235,0.7247278382581649,13.999613197338356
28,28,200.0,,0.99,,10.0,308,102,386,0.751219512195122,0.7979274611398963,0.7738693467336683,15.21103578840368
29,29,500.0,0.8,0.95,3.0,0.0,174,33,274,0.8405797101449275,0.635036496350365,0.7234927234927234,12.093836015310336
30,30,200.0,0.9,0.99,5.0,10.0,211,35,386,0.8577235772357723,0.5466321243523317,0.6677215189873418,13.452868645636437
31,31,500.0,0.9,0.99,3.5,0.0,147,29,274,0.8352272727272727,0.5364963503649635,0.6533333333333332,11.080541913232814
32,32,500.0,0.8,0.95,3.0,50.0,174,33,274,0.8405797101449275,0.635036496350365,0.7234927234927234,12.093836015310336
33,33,400.0,,,3.0,10.0,223,47,317,0.825925925925926,0.7034700315457413,0.7597955706984667,13.571347813739116
34,34,350.0,0.6,0.95,2.0,25.0,217,37,331,0.8543307086614174,0.6555891238670695,0.7418803418803418,13.61579097149804
35,35,100.0,0.9,0.9,5.0,,231,39,403,0.8555555555555555,0.5732009925558312,0.6864784546805348,14.058212309299265
36,36,0.0,0.6,0.95,3.5,10.0,296,109,409,0.7308641975308642,0.7237163814180929,0.7272727272727273,14.708358251998616
